User|Def Acct|Admin|Cluster|Account|Partition|Share|MaxJobs|MaxNodes|MaxCPUs|MaxSubmit|MaxWall|MaxCPUMins|QOS|Def QOS
aarora|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
aboppana|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
abrown|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
abuja|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
acarrillo|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
achavkin|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
achernoglazov|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
achiciak|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
adaly|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
adittmann|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
aelsayed|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
agabrielpillai|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ageorges|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
ageorgescu|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
agerasimov|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
agiovann|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
ahampel|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
ahb|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
ajermyn|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
alamson|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
alash|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
amahajan|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
amillis|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
amishra|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
apataki|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
aplochocka|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
apol|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
apricewhelan|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
arasmussen|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
arautu|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
arubio|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
ashah|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
asimons|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
asriram|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
astakia|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
astrashko|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
atjarnberg|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
awatters|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
awietek|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
awong|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
axichen|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
bburkhart|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
bbusemeyer|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
bcarpenter|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
